region,region0,year,value,pop_2013,cpi,source
Addis Ababa,Addis Ababa,2009,7331900,3773999,105.3,other
Afar,Afar,2009,2741368516,1989997,105.3,other
Amhara,Amhara,2009,20419680866,22535997,105.3,other
Benshangul Gumuz,Benishangul/Gumuz,2009,1889084073,1187997,105.3,other
Dire Dawa,Dire Dawa,2009,1019226756,521000,105.3,other
Gambela,Gambella,2009,1317965632,492002,105.3,other
Harari,Harari,2009,878643755,270000,105.3,other
Oromia,Oromia,2009,28511989850,39075002,105.3,other
SNNP,"Southern Nations, Nationalities & Peoples",2009,17669525913,21021000,105.3,other
Somalia,Somale,2009,7134587291,6355003,105.3,other
Tigray,Tigray,2009,6282302848,5641005,105.3,other
Addis Ababa,Addis Ababa,2010,1635844686,3773999,120.016666666667,other
Afar,Afar,2010,3491862541,1989997,120.016666666667,other
Amhara,Amhara,2010,24974910889,22535997,120.016666666667,other
Benshangul Gumuz,Benshangul Gumuz,2010,2115929951,1187997,120.016666666667,other
Dire Dawa,Dire Dawa,2010,1017496370,521000,120.016666666667,other
Gambela,Gambela,2010,1537807013,492002,120.016666666667,other
Harari,Harari,2010,878746864,270000,120.016666666667,other
Oromia,Oromia,2010,39844232836,39075002,120.016666666667,other
SNNP,"Southern Nations, Nationalities & Peoples",2010,23252104536,21021000,120.016666666667,other
Somalia,Somalia,2010,11539333828,6355003,120.016666666667,other
Tigray,Tigray,2010,6972162623,5641005,120.016666666667,other
Addis Ababa,Addis Ababa City Government,2011,3937147175,3773999,135.583333333333,mof
Afar,The State of Afar,2011,3976361043,1989997,135.583333333333,mof
Amhara,The State of Amhara,2011,28440198188,22535997,135.583333333333,mof
Benshangul Gumuz,The State of Benshangul/Gumuz,2011,2409516791,1187997,135.583333333333,mof
Dire Dawa,Dire Dawa Administration,2011,1158674741,521000,135.583333333333,mof
Gambela,The State of the Gambela Peoples,2011,1751178870,492002,135.583333333333,mof
Harari,The State of the Harari People,2011,1000673640,270000,135.583333333333,mof
Oromia,The State of Oromia,2011,45372649517,39075002,135.583333333333,mof
SNNP,"The State of the Southern Nations, Nationalities & Peoples",2011,26478351184,21021000,135.583333333333,mof
Somalia,The State of Somalia,2011,13140424904,6355003,135.583333333333,mof
Tigray,The State of Tigray,2011,7939555327,5641005,135.583333333333,mof
Addis Ababa,Addis Ababa City Government,2012,2634645719,3773999,163.55,mof
Afar,The State of Afar,2012,4171853988,1989997,163.55,mof
Amhara,The State of Amhara,2012,29838425878,22535997,163.55,mof
Benshangul Gumuz,The State of Benshangul/Gumuz,2012,2527977748,1187997,163.55,mof
Dire Dawa,Dire Dawa Administration,2012,1215639572,521000,163.55,mof
Gambela,The State of the Gambela Peoples,2012,1837273446,492002,163.55,mof
Harari,The State of the Harari People,2012,1049870540,270000,163.55,mof
Oromia,The State of Oromia,2012,47603340544,39075002,163.55,mof
SNNP,"The State of the Southern Nations, Nationalities & Peoples",2012,27780127056,21021000,163.55,mof
Somalia,The State of Somalia,2012,13786457883,6355003,163.55,mof
Tigray,The State of Tigray,2012,8329893891,5641005,163.55,mof
Addis Ababa,Addis Ababa City Government,2013,3884982820,3773999,198.833333333333,mof
Afar,The State of Afar,2013,5208793926,1989997,198.833333333333,mof
Amhara,The State of Amhara,2013,37254949938,22535997,198.833333333333,mof
Benshangul Gumuz,The State of Benshangul/Gumuz,2013,3156322147,1187997,198.833333333333,mof
Dire Dawa,Dire Dawa Administration,2013,1517794257,521000,198.833333333333,mof
Gambela,The State of the Gambela Peoples,2013,2293939047,492002,198.833333333333,mof
Harari,The State of the Harari People,2013,1310822312,270000,198.833333333333,mof
Oromia,The State of Oromia,2013,59435443280,39075002,198.833333333333,mof
SNNP,"The State of the Southern Nations, Nationalities & Peoples",2013,27770932638,21021000,198.833333333333,mof
SNNP (Sidama),The State of Sidama,2013,6914115660,3987457,198.833333333333,mof
Somalia,The State of Somalia,2013,17213166684,6355003,198.833333333333,mof
Tigray,The State of Tigray,2013,10400340190,5641005,198.833333333333,mof
Addis Ababa,Addis Ababa City Government,2014,3340410476,3773999,267.333333333333,mof
Afar,The State of Afar,2014,6058473927,1989997,267.333333333333,mof
Amhara,The State of Amhara,2014,43332131397,22535997,267.333333333333,mof
Benshangul Gumuz,The State of Benshangul/Gumuz,2014,3671194466,1187997,267.333333333333,mof
Dire Dawa,Dire Dawa Administration,2014,1765383131,521000,267.333333333333,mof
Gambela,The State of the Gambela Peoples,2014,2668135868,492002,267.333333333333,mof
Harari,The State of the Harari People,2014,1524649067,270000,267.333333333333,mof
Oromia,The State of Oromia,2014,69130798517,39075002,267.333333333333,mof
