region,value
Tigray Region,984010000
Afar Region,484570000
Amhara Region,3432940000
Oromiya  Region,4705290000
Somale  Region,1004150000
Benshangul-Gumuz Region,260950000
"Southern Nations, Nationalities & Peoples Region",2697270000
Gambella People's Region,186020000
Harari People  Region,135720000
Addis Ababa City Administration,168450000
Dire Dawa Administration Council,201850000
