region,value
The State of Tigray,12591813948
The State of Afar,6306347948
The State of Amhara,45105005187
The State of Oromia,71959188831
The State of Somalia,20840182952
The State of Benshangul/Gumuz,3821396273
"The State of the Southern Nations, Nationalities & Peoples",26942082775
The State of the Gambela Peoples,2777298930
The State of the Harari People,1587027961
Addis Ababa City Government,5254541684
Dire Dawa Administration,1837611323
The State of Sidama,8566693402
The State of Southern West Ethiopia Peoples,6484818931
