region,value
The State of Tigray,10400340190
The State of Afar,5208793926
The State of Amhara,37254949938
The State of Oromia,59435443280
The State of Somalia,17213166684
The State of Benshangul/Gumuz,3156322147
"The State of the Southern Nations, Nationalities & Peoples",27770932638
The State of the Gambela Peoples,2293939047
The State of the Harari People,1310822312
Addis Ababa City Government,3884982820
Dire Dawa Administration,1517794257
The State of Sidama,6914115660
