region,value
The State of Tigray,8329893891
The State of Afar,4171853988
The State of Amhara,29838425878
The State of Oromia,47603340544
The State of Somalia,13786457883
The State of Benshangul/Gumuz,2527977748
"The State of the Southern Nations, Nationalities & Peoples",27780127056
The State of the Gambela Peoples,1837273446
The State of the Harari People,1049870540
Addis Ababa City Government,2634645719
Dire Dawa Administration,1215639572
