region,value
The State of Tigray,12096886682
The State of Afar,6058473927
The State of Amhara,43332131397
The State of Oromia,69130798517
The State of Somalia,20021049600
The State of Benshangul/Gumuz,3671194466
"The State of the Southern Nations, Nationalities & Peoples",32274413423
The State of the Gambela Peoples,2668135868
The State of the Harari People,1524649067
Addis Ababa City Government,3340410476
Dire Dawa Administration,1765383131
The State of Sidama,8068603355
