region,value
Tigray Region,1472170000
Afar Region,688390000
Amhara Region,4868010000
Oromiya  Region,6790930000
Somale  Region,1722750000
Benshangul-Gumuz Region,408200000
"Southern Nations, Nationalities & Peoples Region",4155520000
Gambella People's Region,323620000
Harari People  Region,183410000
Addis Ababa City Administration,113870000
Dire Dawa Administration Council,206090000
