region,value
Tigray National Regional State,2611318629
Afar National Regional State,1145634217
Amhara National Regional State,8426776134
Oromiya  National Regional State,11820035577
Somale Regional State,2960464296
Benshangul-Gumuz National Regional State,763756145
"Southern Nations, Nationalities & Peoples Regional Government",7310237388
Gambella Peoples National Regional State,545540104
Harari People  National Regional State,363693402
Addis Ababa City Government,189498092
Dire Dawa Administration,421884347
