region,value
Tigray Region,1175590000
Afar Region,545530000
Amhara Region,4326760000
Oromiya  Region,5774320000
Somale  Region,1211100000
Benshangul-Gumuz Region,301450000
"Southern Nations, Nationalities & Peoples Region",3405090000
Gambella People's Region,210440000
Harari People  Region,141600000
Addis Ababa City Administration,141450000
Dire Dawa Administration Council,204940000
