region,value
Tigray Region,1696595204
Afar Region,804925976
Amhara Region,5622401905
Oromiya  Region,7839548028
Somale  Region,2031584372
Benshangul-Gumuz Region,472351495
"Southern Nations, Nationalities & Peoples Region",4795789984
Gambella People's Region,378361102
Harari People  Region,214485918
Addis Ababa City Administration,59500000
Dire Dawa Administration Council,243406016
