region,value
Tigray National Regional State,3677651098
Afar National Regional State,1604793206
Amhara National Regional State,11953651962
Oromiya  National Regional State,16690878064
Somale Regional State,4176577192
Benshangul-Gumuz National Regional State,1105867114
"Southern Nations, Nationalities & Peoples Regional Government",10343715189
Gambella Peoples National Regional State,771535195
Harari People  National Regional State,514356797
Addis Ababa City Government,84721493
Dire Dawa Administration,596653885
