region,value
The State of Tigray,7939555327
The State of Afar,3976361043
The State of Amhara,28440198188
The State of Oromia,45372649517
The State of Somalia,13140424904
The State of Benshangul/Gumuz,2409516791
"The State of the Southern Nations, Nationalities & Peoples",26478351184
The State of the Gambela Peoples,1751178870
The State of the Harari People,1000673640
Addis Ababa City Government,3937147175
Dire Dawa Administration,1158674741
