region,value
Tigray National Regional State,2203516608
Afar National Regional State,1045418149
Amhara National Regional State,7302278400
Oromiya  National Regional State,10181874251
Somale Regional State,2638585870
Benshangul-Gumuz National Regional State,613479025
"Southern Nations, Nationalities & Peoples Regional Government",6228690001
Gambella Peoples National Regional State,491408863
Harari People  National Regional State,278569361
Addis Ababa City Government,93462000
Dire Dawa Administration,316129472
