region,value
The State of Tigray,12427896330
The State of Afar,6224253220
The State of Amhara,44517837600
The State of Oromia,71022439060
The State of Somalia,20568889780
The State of Benshangul/Gumuz,3771650130
"The State of the Southern Nations, Nationalities & Peoples",26591356338
The State of the Gambela Peoples,2741144630
The State of the Harari People,1566368360
Addis Ababa City Government,3279614780
Dire Dawa Administration,1813689680
The State of Sidama,8455173967
The State of Southern West Ethiopia Peoples,6400400905
