region,value
The State of Tigray,13099277069
The State of Afar,6560500289
The State of Amhara,46922783527
The State of Oromia,74859218535
The State of Somalia,21680063870
The State of Benshangul/Gumuz,3975402493
The State of  Central Ethiopia,12825556317
The State of the Gambela Peoples,2889226949
The State of the Harari People,1650986828
Addis Ababa City Government,5459000522
Dire Dawa Administration,1911668959
The State of Sidama,8911940002
The State of Southern West Ethiopia Peoples,6746163838
The State of South Ethiopia,15202320247
