region,value
Tigray,3088268676
Afar,1354881104
Amhara,9965903234
Oromia,13978932028
Somalia,3501184822
Addis Ababa,39460000
Dire Dawa,498940343
Benshangul Gumuz,903254070
"Southern Nations, Nationalities & Peoples",8645431808
Gambela,645181478
Harari,430120985
