region,value
Tigray,6282302848
Afar,2741368516
Amhara,20419680866
Oromia,28511989850
Somale,7134587291
Benishangul/Gumuz,1889084073
"Southern Nations, Nationalities & Peoples",17669525913
Gambella,1317965632
Harari,878643755
Addis Ababa,7331900
Dire Dawa,1019226756


