region,value
Tigray,6972162623
Afar,3491862541
Amhara,24974910889
Oromia,39844232836
Addis Ababa,1635844686
Dire Dawa,1017496370
Somalia,11539333828
Benshangul Gumuz,2115929951
"Southern Nations, Nationalities & Peoples",23252104536
Gambela,1537807013
Harari,878746864
