currency_id,currency_name,currency_code,date,buying,selling
01hccadravryrxerw8h7rrjeqs,SDR,XDR,2024-09-16,149.8693,151.368
01hccadraw6qj2h560vdnzvv06,SOUTH AFRICAN RAND,ZAR,2024-09-16,6.2932,6.3561
01hccadraw6qj2h560vdnzvv07,CHINESE YUAN,CNY,2024-09-16,15.7139,15.871
01hccadraxrgm2gyc039fnt6dd,KUWAITI DINAR,KWD,2024-09-16,365.4081,369.0622
01hccadrabmb0fb757f4d09v9g,US DOLLAR,USD,2024-09-17,112.2375,119.9901
01hccadrae4tmhz5kqtkhq2rr3,POUND STERLING,GBP,2024-09-17,148.1759,149.6577
01hccadraf1dnr88nrw8n2yh3d,SWISS FRANC,CHF,2024-09-17,132.9356,134.2649
01hccadragtwvf1xa9qcfadn41,SWIDISH KNRONER,SEK,2024-09-17,11.0242,11.1345
01hccadrayy2a6t7cdx0tt1czv,NORWEGIAN KRONE,NOK,2024-09-17,10.5974,10.7034
01hccadrahmapvgqe52mex068a,DANISH KNRONER,DKK,2024-09-17,16.7396,16.907
01hccadrak2aacqe0k4b7dvfqp,DJIBOUTI FRANC,DJF,2024-09-17,0.6286,0.6475
01hccadramc36zh3208fscxd5h,INDIAN RUPEE,INR,2024-09-17,1.338,1.3514
01hccadranckd8vetw7ca8ef28,KENYAN SHILLING,KES,2024-09-17,0.8667,0.8927
01hccadrapzdjbbxb2pgdgfkbp,JAPANESE YEN,JPY,2024-09-17,0.799,0.8069
01hccadraq98pvxp1nsh044w6t,CANADIAN DOLLAR,CAD,2024-09-17,82.5822,83.408
01hccadrarzxbt9gfyk2cxb5vn,AUSTRALIAN DOLLAR,AUD,2024-09-17,75.6481,76.4046
01hccadrasnh4xq05xxqfaah9a,SAUDI RIYAL,SAR,2024-09-17,29.9045,30.2035
01hccadrasnh4xq05xxqfaah9b,UAE DIRHAM,AED,2024-09-17,30.5566,30.8622
01hccadratqj2hq49k86vr0nyy,EURO,EUR,2024-09-17,124.9091,126.1582
01hccadravryrxerw8h7rrjeqs,SDR,XDR,2024-09-17,124.3816,125.6254
01hccadraw6qj2h560vdnzvv06,SOUTH AFRICAN RAND,ZAR,2024-09-17,6.3456,6.409
01hccadraw6qj2h560vdnzvv07,CHINESE YUAN,CNY,2024-09-17,15.8206,15.9788
01hccadraxrgm2gyc039fnt6dd,KUWAITI DINAR,KWD,2024-09-17,368.0268,371.707
01hccadrabmb0fb757f4d09v9g,US DOLLAR,USD,2024-09-18,112.5863,122.4227
01hccadrae4tmhz5kqtkhq2rr3,POUND STERLING,GBP,2024-09-18,148.5576,150.0432
01hccadraf1dnr88nrw8n2yh3d,SWISS FRANC,CHF,2024-09-18,132.9707,134.3004
01hccadragtwvf1xa9qcfadn41,SWIDISH KNRONER,SEK,2024-09-18,11.0355,11.1458
01hccadrayy2a6t7cdx0tt1czv,NORWEGIAN KRONE,NOK,2024-09-18,10.602,10.7081
01hccadrahmapvgqe52mex068a,DANISH KNRONER,DKK,2024-09-18,16.7736,16.9414
01hccadrak2aacqe0k4b7dvfqp,DJIBOUTI FRANC,DJF,2024-09-18,0.6306,0.6495
01hccadramc36zh3208fscxd5h,INDIAN RUPEE,INR,2024-09-18,1.3432,1.3566
01hccadranckd8vetw7ca8ef28,KENYAN SHILLING,KES,2024-09-18,0.8694,0.8955
01hccadrapzdjbbxb2pgdgfkbp,JAPANESE YEN,JPY,2024-09-18,0.797,0.8049
01hccadraq98pvxp1nsh044w6t,CANADIAN DOLLAR,CAD,2024-09-18,82.7536,83.5812
01hccadrarzxbt9gfyk2cxb5vn,AUSTRALIAN DOLLAR,AUD,2024-09-18,75.9732,76.733
01hccadrasnh4xq05xxqfaah9a,SAUDI RIYAL,SAR,2024-09-18,29.9942,30.2942
01hccadrasnh4xq05xxqfaah9b,UAE DIRHAM,AED,2024-09-18,30.6516,30.9581
01hccadratqj2hq49k86vr0nyy,EURO,EUR,2024-09-18,125.1509,126.4024
01hccadravryrxerw8h7rrjeqs,SDR,XDR,2024-09-18,125.2523,126.5048
01hccadraw6qj2h560vdnzvv06,SOUTH AFRICAN RAND,ZAR,2024-09-18,6.3743,6.438
01hccadraw6qj2h560vdnzvv07,CHINESE YUAN,CNY,2024-09-18,15.8697,16.0284
01hccadraxrgm2gyc039fnt6dd,KUWAITI DINAR,KWD,2024-09-18,369.0241,372.7144
01hccadrabmb0fb757f4d09v9g,US DOLLAR,USD,2024-09-19,113.5416,121.839
01hccadrae4tmhz5kqtkhq2rr3,POUND STERLING,GBP,2024-09-19,150.454,151.9585
01hccadraf1dnr88nrw8n2yh3d,SWISS FRANC,CHF,2024-09-19,134.5598,135.9054
01hccadragtwvf1xa9qcfadn41,SWIDISH KNRONER,SEK,2024-09-19,11.1508,11.2623
01hccadrayy2a6t7cdx0tt1czv,NORWEGIAN KRONE,NOK,2024-09-19,10.7457,10.8532
01hccadrahmapvgqe52mex068a,DANISH KNRONER,DKK,2024-09-19,16.9493,17.1188
01hccadrak2aacqe0k4b7dvfqp,DJIBOUTI FRANC,DJF,2024-09-19,0.6359,0.655
01hccadramc36zh3208fscxd5h,INDIAN RUPEE,INR,2024-09-19,1.3557,1.3693
01hccadranckd8vetw7ca8ef28,KENYAN SHILLING,KES,2024-09-19,0.8768,0.9031
01hccadrapzdjbbxb2pgdgfkbp,JAPANESE YEN,JPY,2024-09-19,0.8002,0.8082
01hccadraq98pvxp1nsh044w6t,CANADIAN DOLLAR,CAD,2024-09-19,83.591,84.4269
01hccadrarzxbt9gfyk2cxb5vn,AUSTRALIAN DOLLAR,AUD,2024-09-19,76.9926,77.7625
01hccadrasnh4xq05xxqfaah9a,SAUDI RIYAL,SAR,2024-09-19,30.2528,30.5553
01hccadrasnh4xq05xxqfaah9b,UAE DIRHAM,AED,2024-09-19,30.9108,31.2199
01hccadratqj2hq49k86vr0nyy,EURO,EUR,2024-09-19,126.4626,127.7273
01hccadravryrxerw8h7rrjeqs,SDR,XDR,2024-09-19,126.2583,127.5208
01hccadraw6qj2h560vdnzvv06,SOUTH AFRICAN RAND,ZAR,2024-09-19,6.4724,6.5372
01hccadraw6qj2h560vdnzvv07,CHINESE YUAN,CNY,2024-09-19,16.0369,16.1973
01hccadraxrgm2gyc039fnt6dd,KUWAITI DINAR,KWD,2024-09-19,372.4051,376.1291
01hccadrabmb0fb757f4d09v9g,US DOLLAR,USD,2024-09-20,116.7164,121.1303
01hccadrae4tmhz5kqtkhq2rr3,POUND STERLING,GBP,2024-09-20,155.1394,156.6908
01hccadraf1dnr88nrw8n2yh3d,SWISS FRANC,CHF,2024-09-20,137.686,139.0628
01hccadragtwvf1xa9qcfadn41,SWIDISH KNRONER,SEK,2024-09-20,11.4964,11.6114
01hccadrayy2a6t7cdx0tt1czv,NORWEGIAN KRONE,NOK,2024-09-20,11.1506,11.2621
01hccadrahmapvgqe52mex068a,DANISH KNRONER,DKK,2024-09-20,17.4587,17.6332
01hccadrak2aacqe0k4b7dvfqp,DJIBOUTI FRANC,DJF,2024-09-20,0.6537,0.6733
01hccadramc36zh3208fscxd5h,INDIAN RUPEE,INR,2024-09-20,1.3948,1.4087
01hccadranckd8vetw7ca8ef28,KENYAN SHILLING,KES,2024-09-20,0.9013,0.9283
01hccadrapzdjbbxb2pgdgfkbp,JAPANESE YEN,JPY,2024-09-20,0.8155,0.8236
01hccadraq98pvxp1nsh044w6t,CANADIAN DOLLAR,CAD,2024-09-20,86.0931,86.954
01hccadrarzxbt9gfyk2cxb5vn,AUSTRALIAN DOLLAR,AUD,2024-09-20,79.6239,80.4202
01hccadrasnh4xq05xxqfaah9a,SAUDI RIYAL,SAR,2024-09-20,31.1028,31.4138
01hccadrasnh4xq05xxqfaah9b,UAE DIRHAM,AED,2024-09-20,31.776,32.0938
01hccadratqj2hq49k86vr0nyy,EURO,EUR,2024-09-20,130.2322,131.5345
01hccadravryrxerw8h7rrjeqs,SDR,XDR,2024-09-20,157.6955,159.2725
01hccadraw6qj2h560vdnzvv06,SOUTH AFRICAN RAND,ZAR,2024-09-20,6.7011,6.7681
01hccadraw6qj2h560vdnzvv07,CHINESE YUAN,CNY,2024-09-20,16.518,16.6832
